莫	na			
器	kis	kiei	joi		
圓	mag	dal	da	
鄰	rin	l		
之	ji	ti		
大	dai	ta		
相	siaq	ssiaq	poda	boda	
七	na			
兄	hiaq	hoaq	ista		
爪	tuma	cue	coa	ha	
湯	ssaq	taq	mul	mud	
氣	ke	da			
已	'i			
具	gue			
耳	ni			
矣	'yiq			
自	jih			
得	dyg			
見	mi			
監	kemu			
乍	tutu			
共	tomo			
雪	ssiad	ssoad		
驪	ri			
朝	asa	dio		
樂	sasa			
毛	mo	ke		
哭	mo	ne	gog	
者	sa	ha	ba	jiaq
痛	teq	tyq		
寸	cueiq			
取	ciei			
物	mys			
邑	op	opu	opo	
礼	re			
左	sa 			
變	biaq			
葉	hiab			
非	bui			
思	si 			
所	ka	so	soq	
念	ne			